brand,name,marketed,details
Olympus,Olympus C-5050Z,2002,Marketed: 24-Sep-2002;Megapixels: 5
Olympus,Olympus C-2100UZ,2000,Marketed: 15-Aug-2000;Megapixels: 2.1
Olympus,Olympus FE-120 aka X-700,,Megapixels: 10
Olympus,Olympus FE-25,,Megapixels: 10
Olympus,Olympus Stylus 1040 aka Olympus µ 1040,,
Olympus,Olympus Stylus 840 aka mju 840,,Megapixels: 8
Olympus,Olympus SZ-20,,Lens Mount:  Fixed
Olympus,Olympus T-10,,Lens Mount:  Fixed;Lens: 36-108mm;Megapixels: 10
Olympus,Olympus T-10,,Lens Mount:  Fixed;Lens: 36-108mm;Megapixels: 10
Olympus,Olympus Stylus 725 SW aka mju 725 SW,2006,Film Size: 135;Marketed: 23-Aug-2006;Megapixels: 7.1
Olympus,Olympus m:robe 500 aka m:robe 500i,2004,Film Size: 135;Marketed: 13-Oct-2004
Olympus,Olympus IS-50 aka Olympus IS-500,2002,Film Size: 135;Marketed: 01-Jan-2002;Lens Mount:  Fixed;Lens: 28-120mm f/4.9-6.8
Olympus,Olympus [mju:] µ Zoom Wide 80 Deluxe,1998,Marketed: 1998
Olympus,Olympus OM-2000,1997,Film Size: 135 Picture Size: 24x36mm;Marketed: 1997;Lens Mount: OM
Olympus,"Olympus Stylus Epic aka mju-II, u2",1997,Film Size: 135;Marketed: 1997
Olympus,Olympus IS-3 DLX aka Olympus IS-3000,1992,Film Size: 135;Marketed: 1992;Lens Mount:  Fixed;Lens: 35-180mm f/4.5-5.6
Olympus,Olympus Ecru,1991,Film Size: 135 Picture Size: 24x36mm;Marketed: 1991;Lens Mount:  Fixed
Olympus,IS-1 DLX aka Olympus IS-1000,1990,Film Size: 135;Marketed: 1990;Lens Mount:  Fixed;Lens: 35-135mm f/4.5-5.6
Olympus,Olympus OM-4Ti aka Olympus OM-4T,1990,Film Size: 135 Picture Size: 24x36mm;Marketed: 1990;Lens Mount: OM
Olympus,Olympus O-Product,1989,Film Size: 135 Picture Size: 24x36mm;Marketed: 1989;Lens Mount:  Fixed
Olympus,Olympus OM-40 aka Olympus OM-PC,1985 - 1987,Film Size: 135 Picture Size: 24x36mm;Marketed: 1985 to 1987;Lens Mount: OM
Olympus,Olympus XA-4,1985,Film Size: 135 Picture Size: 24x36mm;Marketed: 1985;Lens Mount:  Fixed;Lens: Zuiko  28mm f/3.5
Olympus,Olympus OM-2S Program aka Olympus OM-2 SpotProgram,1984 - 1988,Film Size: 135 Picture Size: 24x36mm;Marketed: 1984 to 1988;Lens Mount: OM
Olympus,Olympus OM-4,1984 - 1987,Film Size: 135 Picture Size: 24x36mm;Marketed: 1984 to 1987;Lens Mount: OM
Olympus,Olympus OM-3,1983 - 1986,Film Size: 135 Picture Size: 24x36mm;Marketed: 1983 to 1986;Lens Mount: OM
Olympus,Olympus OM-20 aka Olympus OM-G,1982,Film Size: 135 Picture Size: 24x36mm;Marketed: 1982;Lens Mount: OM
Olympus,Olympus XA-1,1982,Film Size: 135 Picture Size: 24x36mm;Marketed: 1982;Lens Mount:  Fixed;Lens: Zuiko D 35mm f/4
Olympus,Olympus OM-10 Quartz,1980,Film Size: 135 Picture Size: 24x36mm;Marketed: 1980;Lens Mount: OM
Olympus,Olympus XA-2,1980 - 1986,Film Size: 135 Picture Size: 24x36mm;Marketed: 1980 to 1986;Lens Mount:  Fixed;Lens: Zuiko D 35mm f/3.5
Olympus,Olympus OM-10,1979,Film Size: 135 Picture Size: 24x36mm;Marketed: 1979;Lens Mount: OM
Olympus,Olympus OM-1n,1979,Film Size: 135 Picture Size: 24x36mm;Marketed: 1979;Lens Mount: OM
Olympus,Olympus OM-2n,1979,Film Size: 135 Picture Size: 24x36mm;Marketed: 1979;Lens Mount: OM
Olympus,Olympus XA,1979,Film Size: 135 Picture Size: 24x36mm;Marketed: 1979;Lens Mount:  Fixed;Lens: Zuiko F 35mm f/2.8
Olympus,Olympus 35 RD,1975 - 1979,Film Size: 135;Marketed: 1975 to 1979;Lens Mount:  Fixed;Lens: Zuiko  40mm f/1.7
Olympus,Olympus OM-2,1975,Film Size: 135 Picture Size: 24x36mm;Marketed: 1975;Lens Mount: OM
Olympus,Olympus OM-1 MD,1974,Film Size: 135 Picture Size: 24x36mm;Marketed: 1974;Lens Mount: OM
Olympus,Olympus OM-1,1973 - 1974,Film Size: 135 Picture Size: 24x36mm;Marketed: 1973 to 1974;Lens Mount: OM
Olympus,Olympus 35 RC,1970,"Film Size: 135;Marketed: 1970;Lens Mount:  Fixed;Lens: Zuiko E 42mm f/2.8;Shutter Speeds: A, B, 1/15-1/800"
Olympus,Olympus 35 EC,1969,Film Size: 135;Marketed: 1969;Lens Mount:  Fixed;Lens: Zuiko E 42mm f/1.8
Olympus,Olympus Pen EE-2,1968,Film Size: 135 Picture Size: 24x18mm;Marketed: 1968;Lens Mount:  Fixed;Lens: Zuiko D 28mm f/3.5-22
Olympus,Olympus Pen EE-S2,1968 - 1971,Film Size: 135 Picture Size: 24x18mm;Marketed: 1968 to 1971;Lens Mount:  Fixed
Olympus,Olympus 35 LC,1967,"Film Size: 135 Picture Size: 24x36mm;Marketed: 1967;Lens Mount:  Fixed;Lens: Olympus G. Zuiko 42mm f/1.7-16;Shutter: Copal X Speeds: B,1,2,4,8.15,30,60,120,250,1/500s"
Olympus,Olympus Pen FT,1967 - 1972,"Film Size: 135 Picture Size: 24x18mm;Marketed: 1967 to 1972;Lens Mount: Pen Bayonet;Standard Lens:;Shutter Speeds: 1-1/500, B"
Olympus,Olympus Pen F,1963 - 1966,Film Size: 135 Picture Size: 24x18mm;Marketed: 1963 to 1966;Lens Mount: Pen Bayonet;Standard Lens:
Olympus,Olympus Pen EE-S,1962,Film Size: 135 Picture Size: 24x18mm;Marketed: 1962;Lens Mount:  Fixed
Olympus,Olympus 35 S,1955 - 1958,Film Size: 135 Picture Size: 24x36mm;Marketed: 1955 to 1958;Lens Mount:  Fixed;Lens: Olympus G. Zuiko 42mm f/1.8
